#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2021-03-07"
#curie_map:
#  BAO: "http://www.bioassayontology.org/bao#BAO_"
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  OBI: "http://purl.obolibrary.org/obo/OBI_"
#  dc: "http://purl.org/dc/elements/1.1/"
#  dcterms: "http://purl.org/dc/terms/"
#  foaf: "http://xmlns.com/foaf/0.1/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  xsd: "http://www.w3.org/2001/XMLSchema#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
OBI:0200041	k-means clustering	owl:equivalentClass	BAO:0002344	k means clustering	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	PlannedProcess	assay method component	clusteringkmeans	unique	.
OBI:0400074	mixed argon-krypton gas laser	owl:equivalentClass	BAO:0150041	mixed argon-krypton gas laser	Lexical	OBI	BAO	rdf_matcher	0.9372195592398013	rdfs:label	rdfs:label	Device	assay method component	argongaskryptonlasermixed	unique	.
OBI:0400074	mixed argon-krypton gas laser	owl:equivalentClass	BAO:0150041	mixed argon-krypton gas laser	Lexical|Stemming	OBI	BAO	rdf_matcher	0.7252004253240047	rdfs:label	rdfs:label	Device	assay method component	mixed argon-krypton gas las	unique	.
OBI:0400074	mixed argon-krypton gas laser	owl:equivalentClass	BAO:0150041	mixed argon-krypton gas laser	Lexical	OBI	BAO	rdf_matcher	0.9372195592398013	rdfs:label	rdfs:label	Device	assay method component	mixed argon-krypton gas laser	unique	.
OBI:0000571	manufacturer role	owl:equivalentClass	BAO:0000558	manufacturer role	Lexical|Stemming	OBI	BAO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	Role	role	manufacturer rol	unique	.
OBI:0000571	manufacturer role	owl:equivalentClass	BAO:0000558	manufacturer role	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	Role	role	manufacturer role	unique	.
OBI:0000571	manufacturer role	owl:equivalentClass	BAO:0000558	manufacturer role	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	Role	role	manufacturerrole	unique	.
OBI:0001144	binding constant	owl:equivalentClass	BAO:0000587	binding constant	Lexical|Stemming	OBI	BAO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	entity	assay endpoint component	binding const	unique	.
OBI:0001144	binding constant	owl:equivalentClass	BAO:0000587	binding constant	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	entity	assay endpoint component	binding constant	unique	.
OBI:0001144	binding constant	owl:equivalentClass	BAO:0000587	binding constant	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	entity	assay endpoint component	bindingconstant	unique	.
OBI:0000427	enzyme	owl:equivalentClass	BAO:0000279	enzyme	Lexical|Stemming	OBI	BAO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	Enzyme	assay biology component	enzym	unique	.
OBI:0000427	enzyme	owl:equivalentClass	BAO:0000279	enzyme	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	Enzyme	assay biology component	enzyme	unique	.
OBI:0000427	enzyme	owl:equivalentClass	BAO:0000279	enzyme	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	Enzyme	assay biology component	enzyme	unique	.
OBI:0200080	network analysis	owl:equivalentClass	BAO:0002361	network analysis	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	PlannedProcess	assay method component	analysisnetwork	unique	.
OBI:0200080	network analysis	owl:equivalentClass	BAO:0002361	network analysis	Lexical|Stemming	OBI	BAO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	PlannedProcess	assay method component	network analysi	unique	.
OBI:0200080	network analysis	owl:equivalentClass	BAO:0002361	network analysis	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	PlannedProcess	assay method component	network analysis	unique	.
OBI:0400047	gas laser	owl:equivalentClass	BAO:0150036	gas laser	Lexical|Stemming	OBI	BAO	rdf_matcher	0.7252004253240047	rdfs:label	rdfs:label	Device	assay method component	gas las	unique	.
OBI:0400047	gas laser	owl:equivalentClass	BAO:0150036	gas laser	Lexical	OBI	BAO	rdf_matcher	0.9372195592398013	rdfs:label	rdfs:label	Device	assay method component	gas laser	unique	.
OBI:0400047	gas laser	owl:equivalentClass	BAO:0150036	gas laser	Lexical	OBI	BAO	rdf_matcher	0.9372195592398013	rdfs:label	rdfs:label	Device	assay method component	gaslaser	unique	.
OBI:0400096	solid state laser	owl:equivalentClass	BAO:0150045	solid state laser	Lexical	OBI	BAO	rdf_matcher	0.9372195592398013	rdfs:label	rdfs:label	Device	assay method component	lasersolidstate	unique	.
OBI:0400096	solid state laser	owl:equivalentClass	BAO:0150045	solid state laser	Lexical|Stemming	OBI	BAO	rdf_matcher	0.7252004253240047	rdfs:label	rdfs:label	Device	assay method component	solid state las	unique	.
OBI:0400096	solid state laser	owl:equivalentClass	BAO:0150045	solid state laser	Lexical	OBI	BAO	rdf_matcher	0.9372195592398013	rdfs:label	rdfs:label	Device	assay method component	solid state laser	unique	.
OBI:0002193	Thermo Fisher Scientific	owl:equivalentClass	BAO:0002653	Thermo Fisher Scientific	Lexical	OBI	BAO	rdf_matcher	0.8818562360532485	rdfs:label	rdfs:label	organization	organization	fisherrmoscientific	unique	.
OBI:0002193	Thermo Fisher Scientific	owl:equivalentClass	BAO:0002653	Thermo Fisher Scientific	Lexical|Stemming	OBI	BAO	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	organization	organization	thermo fisher scientif	unique	.
OBI:0002193	Thermo Fisher Scientific	owl:equivalentClass	BAO:0002653	Thermo Fisher Scientific	Lexical	OBI	BAO	rdf_matcher	0.8818562360532485	rdfs:label	rdfs:label	organization	organization	thermo fisher scientific	unique	.
OBI:0002625	gene knockdown	owl:equivalentClass	BAO:0002433	gene knockdown	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	PlannedProcess	assay method component	gene knockdown	unique	.
OBI:0002625	gene knockdown	owl:equivalentClass	BAO:0002433	gene knockdown	Lexical|Stemming	OBI	BAO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	PlannedProcess	assay method component	gene knockdown	unique	.
OBI:0002625	gene knockdown	owl:equivalentClass	BAO:0002433	gene knockdown	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	PlannedProcess	assay method component	geneknockdown	unique	.
OBI:0000748	bisulfite sequencing assay	owl:equivalentClass	BAO:0010037	Bisulfite Sequencing assay	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	Assay	assay bioassay component	assaybisulfitesequencing	unique	.
OBI:0000748	bisulfite sequencing assay	owl:equivalentClass	BAO:0010037	Bisulfite Sequencing assay	Lexical|Stemming	OBI	BAO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	Assay	assay bioassay component	bisulfite sequencing assai	unique	.
OBI:0000748	bisulfite sequencing assay	owl:equivalentClass	BAO:0010037	Bisulfite Sequencing assay	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	Assay	assay bioassay component	bisulfite sequencing assay	unique	.
OBI:0002567	sequence alignment	owl:equivalentClass	BAO:0002231	sequence alignment	Lexical	OBI	BAO	rdf_matcher	0.788678758928574	rdfs:label	rdfs:label	PlannedProcess	assay method component	alignmentsequence	unique	.
