subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
OBI:0200041	k-means clustering	owl:equivalentClass	BAO:0002344	k means clustering	Lexical	OBI	BAO	rdf_matcher	0.7887617553626767	rdfs:label	rdfs:label	PlannedProcess	assay method component	clusteringkmeans	unique	.
OBI:0400074	mixed argon-krypton gas laser	owl:equivalentClass	BAO:0150041	mixed argon-krypton gas laser	Lexical	OBI	BAO	rdf_matcher	0.9372700925454964	rdfs:label	rdfs:label	Device	assay method component	argongaskryptonlasermixed	unique	.
OBI:0000571	manufacturer role	owl:equivalentClass	BAO:0000558	manufacturer role	Lexical	OBI	BAO	rdf_matcher	0.7887506054498836	rdfs:label	rdfs:label	Role	role	manufacturer role	unique	.
OBI:0001144	binding constant	owl:equivalentClass	BAO:0000587	binding constant	Lexical	OBI	BAO	rdf_matcher	0.7886876097267365	rdfs:label	rdfs:label	entity	assay endpoint component	binding constant	unique	.
OBI:0000427	enzyme	owl:equivalentClass	BAO:0000279	enzyme	Lexical	OBI	BAO	rdf_matcher	0.7887695653941447	rdfs:label	rdfs:label	Enzyme	assay biology component	enzyme	unique	.
OBI:0200080	network analysis	owl:equivalentClass	BAO:0002361	network analysis	Lexical	OBI	BAO	rdf_matcher	0.7887580029236266	rdfs:label	rdfs:label	PlannedProcess	assay method component	network analysis	unique	.
OBI:0400047	gas laser	owl:equivalentClass	BAO:0150036	gas laser	Lexical	OBI	BAO	rdf_matcher	0.9372281057157252	rdfs:label	rdfs:label	Device	assay method component	gaslaser	unique	.
OBI:0400096	solid state laser	owl:equivalentClass	BAO:0150045	solid state laser	Lexical	OBI	BAO	rdf_matcher	0.9373195277706634	rdfs:label	rdfs:label	Device	assay method component	lasersolidstate	unique	.
OBI:0002193	Thermo Fisher Scientific	owl:equivalentClass	BAO:0002653	Thermo Fisher Scientific	Lexical	OBI	BAO	rdf_matcher	0.8819432990481952	rdfs:label	rdfs:label	organization	organization	thermo fisher scientific	unique	.
OBI:0002625	gene knockdown	owl:equivalentClass	BAO:0002433	gene knockdown	Lexical	OBI	BAO	rdf_matcher	0.7887099689988124	rdfs:label	rdfs:label	PlannedProcess	assay method component	geneknockdown	unique	.
OBI:0000748	bisulfite sequencing assay	owl:equivalentClass	BAO:0010037	Bisulfite Sequencing assay	Lexical	OBI	BAO	rdf_matcher	0.7887510167107133	rdfs:label	rdfs:label	Assay	assay bioassay component	assaybisulfitesequencing	unique	.
OBI:0002567	sequence alignment	owl:equivalentClass	BAO:0002231	sequence alignment	Lexical	OBI	BAO	rdf_matcher	0.7887475876025972	rdfs:label	rdfs:label	PlannedProcess	assay method component	alignmentsequence	unique	.
OBI:0400073	metal vapor laser	owl:equivalentClass	BAO:0150042	metal vapor laser	Lexical	OBI	BAO	rdf_matcher	0.9372789813889837	rdfs:label	rdfs:label	Device	assay method component	metal vapor laser	unique	.
OBI:0002082	reporter gene assay	owl:equivalentClass	BAO:0003006	reporter gene assay	Lexical	OBI	BAO	rdf_matcher	0.7887742347128318	rdfs:label	rdfs:label	Assay	assay bioassay component	assaygenereporter	unique	.
